"dwaid","dwatitle","adoption_rate","number_observations","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I16.D01","Research genetic characteristics or expression.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I08.D02","Research geological features or processes.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I20.D07","Research human performance or health factors related to engineering or design activities.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I09.D02","Research industrial processes or operations.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I13.D01","Research livestock management methods.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I16.D04","Research microbiological or chemical processes or structures.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I13.D03","Research sustainable agricultural processes or practices.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D10","Research topics in area of expertise.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I07.D01","Reshape metal workpieces to established specifications.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I01.D01","Resolve interpersonal conflicts.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I03.D04","Resolve issues affecting transportation operations.","","17","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I03.D02","Resolve operational performance problems.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I03.D03","Resolve personnel problems.","","17","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I03.D02","Respond to customer inquiries.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I05.D03","Respond to transportation emergencies.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I04.D05","Retrieve information from electronic sources.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I02.D15","Review details of technical drawings or specifications.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.3.I01.D05","Review license or permit applications.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I01.D03","Review production information to determine costume or makeup requirements.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D01","Review professional literature to maintain professional knowledge.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I34.D02","Rewire electrical or electronic systems.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I05.D04","Route mail to correct destinations.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I34.D06","Run wiring to connect equipment.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.5.I01.D04","Schedule activities or facility use.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.5.I02.D05","Schedule agricultural or forestry work.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.5.I03.D03","Schedule appointments with prospective customers.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.5.I02.D03","Schedule instructional activities.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.5.I02.D07","Schedule operational activities.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.5.I03.D02","Schedule patient procedures or appointments.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I11.D11","Search individuals for illegal or dangerous items.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I04.D03","Search information sources to find specific data.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I10.D09","Select construction equipment.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I10.D07","Select construction materials.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I10.D10","Select educational materials or equipment.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I10.D08","Select medical equipment for addressing patient needs.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I10.D06","Select production equipment according to product specifications.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I10.D05","Select production input materials.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I10.D02","Select project materials.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I10.D11","Select resources needed to accomplish tasks.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.2.I01.D06","Select staff, team members, or performers.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I02.D02","Sell agricultural products.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I02.D01","Serve on institutional or departmental committees.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I08.D05","Service vehicles to maintain functionality.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D08","Set equipment controls to meet cutting specifications.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I46.D05","Set equipment guides, stops, spacers, or other fixtures.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I46.D10","Set up laboratory or field equipment.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I46.D02","Set up material handling gear or equipment, such as rigging, packaging, or temporary structures.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I46.D06","Set up still or video cameras or related equipment.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I05.D01","Sew clothing or other articles.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I07.D02","Shape clay or dough to create products.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I07.D06","Shape surfaces or edges of wood workpieces.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I02.D19","Sharpen cutting or grinding tools.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I10.D01","Signal others to coordinate vehicle movement.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I06.D05","Smooth garments with irons, presses, or steamers.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I15.D05","Smooth metal surfaces or edges.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I15.D03","Smooth surfaces of objects or equipment.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I15.D06","Smooth surfaces with abrasive materials or tools.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I35.D03","Solder parts or connections between parts.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I35.D01","Solder parts or workpieces.","","17","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I02.D04","Sort forestry or agricultural materials.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I02.D05","Sort materials or products for processing, storing, shipping, or grading.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I02.D06","Sort materials or products.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I07.D09","Spread concrete or other aggregate mixtures.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I07.D05","Spread sand, dirt or other loose materials onto surfaces.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I06.D08","Stack finished items for further processing or shipment.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D08","Sterilize food cooking or processing equipment.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I37.D02","Stock medical or patient care supplies.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I37.D01","Stock products or parts.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I37.D03","Store records or related materials.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I37.D04","Store supplies or goods in kitchens or storage areas.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I01.D02","Study details of musical compositions.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D22","Study product information to acquire professional knowledge.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I03.D02","Submit financial applications.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01.D01","Supervise maintenance workers.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I06.D04","Supervise school or student activities.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01.D10","Supervise scientific or technical personnel.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01.D18","Supervise student research or internship work.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01.D03","Supervise trainees.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01.D12","Supervise workers providing client or patient services.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.5.I02.D05","Support the professional development of others.","","12","","","","","","","","","","","","","","","","","","","","","",""
